Nombre,Apellido,DNI,Telefono,Mail,Direccion
Aria,Sánchez,40370824,431588,Aria0@hotmail.com,Fillmore Lane 2547
Evelyn,Pérez,41830596,435847,Evelyn1@hotmail.com,First Avenue 1323
Hannah,Gómez,42586526,452622,Hannah2@hotmail.com,Cleveland Avenue 2402
Daniel,Allen,43557919,465326,Daniel3@hotmail.com,Clinton Street 1732
Harper,Pérez,42985607,459963,Harper4@hotmail.com,Wilson Avenue 536
Kevin,Hernández,43155847,476273,Kevin5@hotmail.com,Cedar Avenue 2801
Daniel,Wilson,41972813,443447,Daniel6@outlook.com,Forest Lane 2416
Evan,Herrera,43190137,445392,Evan7@outlook.com,Eisenhower Lane 3596
Jonathan,Castro,43474453,488893,Jonathan8@outlook.com,McKinley Street 552
Daniel,Jones,41294090,465974,Daniel9@gmail.com,Elm Street 2698
Ryan,Morales,40061667,482575,Ryan10@outlook.com,Pine Street 757
Justin,Miller,42912873,447419,Justin11@hotmail.com,Greenwood Avenue 2183
Logan,Torres,42023675,426184,Logan12@outlook.com,Forest Lane 2697
Joseph,Díaz,40092091,462650,Joseph13@outlook.com,Main Street 2250
Nora,Baker,41113881,445798,Nora14@hotmail.com,River Road 672
George,Gómez,42231982,436330,George15@outlook.com,Hayes Avenue 3355
David,Díaz,43697423,443293,David16@outlook.com,Meadow Lane 3530
Joseph,Nelson,41627467,447689,Joseph17@gmail.com,Willow Street 268
Charles,Turner,42138196,447944,Charles18@outlook.com,River Road 2363
Emma,Lee,42782567,487750,Emma19@outlook.com,Hoover Drive 415
Eleanor,Allen,40387222,487685,Eleanor20@hotmail.com,Sunset Boulevard 2521
Gianna,Smith,43509913,473182,Gianna21@gmail.com,Wilson Avenue 3843
Christopher,Hall,42520420,440628,Christopher22@hotmail.com,Truman Street 2076
Sophia,Thomas,41030044,476104,Sophia23@outlook.com,Fillmore Lane 2772
James,Anderson,42674334,467712,James24@hotmail.com,Jefferson Avenue 767
Joseph,Rodríguez,43006665,454547,Joseph25@hotmail.com,Chestnut Avenue 2148
Brandon,Vargas,40770752,478225,Brandon26@gmail.com,Adams Street 2987
Lillian,Díaz,42558051,488705,Lillian27@gmail.com,Greenwood Avenue 2502
Layla,Evans,40807695,425884,Layla28@gmail.com,Washington Avenue 523
Hazel,González,40187583,436441,Hazel29@hotmail.com,Jefferson Avenue 3314
Scarlett,Roberts,42178877,429979,Scarlett30@gmail.com,Franklin Lane 732
Mila,Campbell,43605704,469119,Mila31@gmail.com,Willow Street 1526
